Incident_ID,Category,Factor_Affected,Count_Factors,Description
I00092,category I,C5;C3,2,Synth incident with 2 factors
I00101,category I,C1;C12;C7,3,Synth incident with 3 factors
I00040,category I,C11;C8,2,Synth incident with 2 factors
I00055,category I,C3;C7;C14;C5,4,Synth incident with 4 factors
I00140,category I,C7;C14;C12;C4;C2;C11,6,Synth incident with 6 factors
I00100,category I,C7,1,Synth incident with 1 factors
I00120,category I,C5;C13;C9;C8;C4;C14,6,Synth incident with 6 factors
I00058,category I,C2,1,Synth incident with 1 factors
I00049,category I,C13;C8,2,Synth incident with 2 factors
I00067,category I,C7;C2,2,Synth incident with 2 factors
I00029,category I,C9;C5;C14;C1,4,Synth incident with 4 factors
I00080,category I,C11;C14,2,Synth incident with 2 factors
I00077,category I,C11;C2;C3,3,Synth incident with 3 factors
I00136,category I,C2;C13;C11;C1;C12;C4,6,Synth incident with 6 factors
I00054,category I,C13;C2;C4,3,Synth incident with 3 factors
I00072,category I,C8;C6;C2,3,Synth incident with 3 factors
I00016,category I,C3;C6;C13,3,Synth incident with 3 factors
I00032,category I,C3;C8;C1;C5,4,Synth incident with 4 factors
I00011,category I,C7,1,Synth incident with 1 factors
I00039,category I,C13,1,Synth incident with 1 factors
I00143,category I,C9,1,Synth incident with 1 factors
I00103,category I,C10;C6;C11,3,Synth incident with 3 factors
I00020,category I,C14;C13;C1,3,Synth incident with 3 factors
I00117,category I,C4;C2;C8;C3;C12,5,Synth incident with 5 factors
I00088,category I,C11;C2,2,Synth incident with 2 factors
I00152,category I,,0,Synth incident with 0 factors
I00146,category I,C14;C8;C12;C3;C7;C11;C5;C13;C10;C4;C6;C2;C9;C1,14,Synth incident with 14 factors
I00010,category I,C10;C5;C1,3,Synth incident with 3 factors
I00063,category I,C12,1,Synth incident with 1 factors
I00052,category I,C11,1,Synth incident with 1 factors
I00009,category I,C7,1,Synth incident with 1 factors
I00106,category I,C7;C11;C12;C3;C10;C5,6,Synth incident with 6 factors
I00015,category I,C7,1,Synth incident with 1 factors
I00121,category I,C5;C4;C14;C6;C11;C9,6,Synth incident with 6 factors
I00111,category I,C11;C10;C6;C2;C4;C5,6,Synth incident with 6 factors
I00129,category I,C1;C7;C6;C11,4,Synth incident with 4 factors
I00007,category I,C12;C7,2,Synth incident with 2 factors
I00024,category I,C12;C10;C7,3,Synth incident with 3 factors
I00044,category I,C2;C6,2,Synth incident with 2 factors
I00057,category I,C1,1,Synth incident with 1 factors
I00062,category I,C3;C4;C5;C13,4,Synth incident with 4 factors
I00061,category I,C5;C7;C12;C9,4,Synth incident with 4 factors
I00037,category I,C1;C4,2,Synth incident with 2 factors
I00074,category I,C3;C6;C2,3,Synth incident with 3 factors
I00002,category I,C4;C3,2,Synth incident with 2 factors
I00112,category I,C1;C14,2,Synth incident with 2 factors
I00131,category I,C11;C1;C2;C14;C7,5,Synth incident with 5 factors
I00126,category I,C8;C1;C6;C5,4,Synth incident with 4 factors
I00134,category I,C13;C7;C5,3,Synth incident with 3 factors
I00075,category I,C5;C3;C8,3,Synth incident with 3 factors
I00014,category I,C13;C5,2,Synth incident with 2 factors
I00012,category I,C14;C11;C10,3,Synth incident with 3 factors
I00145,category I,C7,1,Synth incident with 1 factors
I00033,category I,C14,1,Synth incident with 1 factors
I00004,category I,C2,1,Synth incident with 1 factors
I00078,category I,C12,1,Synth incident with 1 factors
I00046,category I,C4,1,Synth incident with 1 factors
I00093,category I,C7,1,Synth incident with 1 factors
I00059,category I,C7;C8,2,Synth incident with 2 factors
I00076,category I,C10;C13;C11,3,Synth incident with 3 factors
I00148,category I,C5;C10;C12;C14;C9,5,Synth incident with 5 factors
I00026,category I,C14,1,Synth incident with 1 factors
I00073,category I,C2,1,Synth incident with 1 factors
I00135,category I,C1;C12;C9;C14,4,Synth incident with 4 factors
I00071,category I,C5;C7,2,Synth incident with 2 factors
I00124,category I,C4,1,Synth incident with 1 factors
I00056,category I,C8,1,Synth incident with 1 factors
I00153,category I,,0,Synth incident with 0 factors
I00048,category I,C4;C9;C3;C10,4,Synth incident with 4 factors
I00138,category I,C12;C5;C6;C3,4,Synth incident with 4 factors
I00154,category I,,0,Synth incident with 0 factors
I00081,category I,C5;C1;C2;C11,4,Synth incident with 4 factors
I00050,category I,C2;C14,2,Synth incident with 2 factors
I00031,category I,C13;C11;C6,3,Synth incident with 3 factors
I00060,category I,C1;C3;C7;C14,4,Synth incident with 4 factors
I00065,category I,C1;C9,2,Synth incident with 2 factors
I00079,category I,C5;C10;C4,3,Synth incident with 3 factors
I00070,category I,C5;C4;C11,3,Synth incident with 3 factors
